"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 09 13:54:52 UTC 2025","Sat Aug 09 13:55:35 UTC 2025","42998","src.tests","test_03_credentials","TestCredentials","","","verifying take action button functionality",""
"passed","Sat Aug 09 13:51:31 UTC 2025","Sat Aug 09 13:53:37 UTC 2025","125739","src.tests","test_02_dashboard","TestDashBoard","","","Verify transaction value changes when selecting options in all filter dropdowns",""
"passed","Sat Aug 09 14:05:20 UTC 2025","Sat Aug 09 14:05:35 UTC 2025","14760","src.tests","test_04_flight","TestFlights","","","Scroll down dashboard page till the end",""
"passed","Sat Aug 09 13:47:56 UTC 2025","Sat Aug 09 13:48:09 UTC 2025","13245","src.tests","test_01_login","TestLogin","","","Login with valid credentials",""
"passed","Sat Aug 09 13:48:35 UTC 2025","Sat Aug 09 13:48:52 UTC 2025","17329","src.tests","test_02_dashboard","TestDashBoard","","","Login with invalid credentials",""
"skipped","Sat Aug 09 13:54:48 UTC 2025","Sat Aug 09 13:54:48 UTC 2025","1","src.tests","test_02_dashboard","TestDashBoard","","","Network error handling and user feedback","Test UI behavior during network failures"
"skipped","Sat Aug 09 13:59:58 UTC 2025","Sat Aug 09 14:00:19 UTC 2025","20788","src.tests","test_03_credentials","TestCredentials","","","test_column_toggle_checkbox_reflects_in_table_headings[email]",""
"passed","Sat Aug 09 14:04:39 UTC 2025","Sat Aug 09 14:04:59 UTC 2025","19893","src.tests","test_04_flight","TestFlights","","","test_column_toggle_checkbox_reflects_in_table_headings",""
"passed","Sat Aug 09 14:03:24 UTC 2025","Sat Aug 09 14:04:16 UTC 2025","51839","src.tests","test_03_credentials","TestCredentials","","","Verify that search bar reduces table results (generic)",""
"passed","Sat Aug 09 13:56:00 UTC 2025","Sat Aug 09 13:56:18 UTC 2025","17656","src.tests","test_03_credentials","TestCredentials","","","verifying the label name the cards",""
"broken","Sat Aug 09 14:04:20 UTC 2025","Sat Aug 09 14:04:35 UTC 2025","15720","src.tests","test_04_flight","TestFlights","","","verifying the flight table heading label name",""
"passed","Sat Aug 09 13:49:00 UTC 2025","Sat Aug 09 13:49:21 UTC 2025","20926","src.tests","test_02_dashboard","TestDashBoard","","","All key widgets and UI elements are visible on dashboard",""
"passed","Sat Aug 09 14:05:41 UTC 2025","Sat Aug 09 14:05:58 UTC 2025","16396","src.tests","test_04_flight","TestFlights","","","test_table_header_drag_and_drop",""
"failed","Sat Aug 09 13:56:51 UTC 2025","Sat Aug 09 13:57:09 UTC 2025","17551","src.tests","test_03_credentials","TestCredentials","","","verifying the airline table heading label name",""
"passed","Sat Aug 09 13:59:37 UTC 2025","Sat Aug 09 13:59:55 UTC 2025","17168","src.tests","test_03_credentials","TestCredentials","","","test_column_toggle_checkbox_reflects_in_table_headings[airline]",""
"passed","Sat Aug 09 13:49:24 UTC 2025","Sat Aug 09 13:49:36 UTC 2025","12066","src.tests","test_02_dashboard","TestDashBoard","","","All Modules are visible on dashboard",""
"passed","Sat Aug 09 13:53:40 UTC 2025","Sat Aug 09 13:54:27 UTC 2025","46310","src.tests","test_02_dashboard","TestDashBoard","","","Scroll down dashboard page till the end",""
"passed","Sat Aug 09 14:00:22 UTC 2025","Sat Aug 09 14:00:40 UTC 2025","17610","src.tests","test_03_credentials","TestCredentials","","","test_table_header_drag_and_drop[gst]",""
"passed","Sat Aug 09 13:55:38 UTC 2025","Sat Aug 09 13:55:57 UTC 2025","18627","src.tests","test_03_credentials","TestCredentials","","","verifying the no of the cards",""
"passed","Sat Aug 09 14:06:01 UTC 2025","Sat Aug 09 14:06:36 UTC 2025","34804","src.tests","test_04_flight","TestFlights","","","test_sort_toggle_by_index",""
"passed","Sat Aug 09 13:54:30 UTC 2025","Sat Aug 09 13:54:45 UTC 2025","15385","src.tests","test_02_dashboard","TestDashBoard","","","Dashboard load time performance benchmark","Measure and validate dashboard load times"
"skipped","Sat Aug 09 14:01:25 UTC 2025","Sat Aug 09 14:01:47 UTC 2025","22204","src.tests","test_03_credentials","TestCredentials","","","test_table_header_drag_and_drop[email]",""
"passed","Sat Aug 09 13:48:12 UTC 2025","Sat Aug 09 13:48:13 UTC 2025","433","src.tests","test_01_login","TestLogin","","","Login with empty username",""
"passed","Sat Aug 09 13:59:16 UTC 2025","Sat Aug 09 13:59:34 UTC 2025","18370","src.tests","test_03_credentials","TestCredentials","","","test_column_toggle_checkbox_reflects_in_table_headings[gst]",""
"skipped","Sat Aug 09 14:05:38 UTC 2025","Sat Aug 09 14:05:38 UTC 2025","0","src.tests","test_04_flight","TestFlights","","","all filter functionality",""
"failed","Sat Aug 09 13:56:21 UTC 2025","Sat Aug 09 13:56:48 UTC 2025","27238","src.tests","test_03_credentials","TestCredentials","","","verifying the GST table heading label name",""
"passed","Sat Aug 09 14:05:02 UTC 2025","Sat Aug 09 14:05:17 UTC 2025","14739","src.tests","test_04_flight","TestFlights","","","test_toggles_buttons_expand_and_collapse",""
"passed","Sat Aug 09 14:01:02 UTC 2025","Sat Aug 09 14:01:21 UTC 2025","19000","src.tests","test_03_credentials","TestCredentials","","","test_table_header_drag_and_drop[airline]",""
"passed","Sat Aug 09 13:57:58 UTC 2025","Sat Aug 09 13:58:16 UTC 2025","18847","src.tests","test_03_credentials","TestCredentials","","","test_toggle_buttons_expand_and_collapse[gst]",""
"passed","Sat Aug 09 13:48:16 UTC 2025","Sat Aug 09 13:48:16 UTC 2025","482","src.tests","test_01_login","TestLogin","","","Login with invalid credentials",""
"passed","Sat Aug 09 13:48:20 UTC 2025","Sat Aug 09 13:48:32 UTC 2025","11892","src.tests","test_01_login","TestLogin","","","Login and logout",""
"passed","Sat Aug 09 14:01:50 UTC 2025","Sat Aug 09 14:02:06 UTC 2025","16381","src.tests","test_03_credentials","TestCredentials","","","Validate risk amount calculations for Airline & SSR",""
"skipped","Sat Aug 09 13:57:12 UTC 2025","Sat Aug 09 13:57:54 UTC 2025","42101","src.tests","test_03_credentials","TestCredentials","","","verifying the email table heading label name",""
"passed","Sat Aug 09 13:48:55 UTC 2025","Sat Aug 09 13:48:56 UTC 2025","927","src.tests","test_02_dashboard","TestDashBoard","","","Redirect to login if not authenticated",""
"skipped","Sat Aug 09 13:58:50 UTC 2025","Sat Aug 09 13:59:13 UTC 2025","22228","src.tests","test_03_credentials","TestCredentials","","","test_toggle_buttons_expand_and_collapse[email]",""
"passed","Sat Aug 09 13:50:18 UTC 2025","Sat Aug 09 13:51:28 UTC 2025","69485","src.tests","test_02_dashboard","TestDashBoard","","","Verify all custom dropdowns under filters have values",""
"passed","Sat Aug 09 14:02:52 UTC 2025","Sat Aug 09 14:03:21 UTC 2025","29485","src.tests","test_03_credentials","TestCredentials","","","Verify that search bar reduces table results (generic)",""
"passed","Sat Aug 09 14:02:10 UTC 2025","Sat Aug 09 14:02:48 UTC 2025","38616","src.tests","test_03_credentials","TestCredentials","","","Verify that search bar reduces table results (generic)",""
"broken","Sat Aug 09 13:58:20 UTC 2025","Sat Aug 09 13:58:47 UTC 2025","27134","src.tests","test_03_credentials","TestCredentials","","","test_toggle_buttons_expand_and_collapse[airline]",""
"passed","Sat Aug 09 13:49:39 UTC 2025","Sat Aug 09 13:49:52 UTC 2025","12890","src.tests","test_02_dashboard","TestDashBoard","","","Verify top horizontal modules as per client config",""
"passed","Sat Aug 09 13:49:55 UTC 2025","Sat Aug 09 13:50:15 UTC 2025","19756","src.tests","test_02_dashboard","TestDashBoard","","","Click each top module and verify it loads correct view title",""
