"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Aug 14 11:49:22 UTC 2025","Thu Aug 14 11:49:22 UTC 2025","2","src.tests","test_02_dashboard","TestDashBoard","","","Network error handling and user feedback","Test UI behavior during network failures"
"passed","Thu Aug 14 11:44:07 UTC 2025","Thu Aug 14 11:44:19 UTC 2025","12371","src.tests","test_02_dashboard","TestDashBoard","","","Verify top horizontal modules as per client config",""
"passed","Thu Aug 14 11:57:36 UTC 2025","Thu Aug 14 11:58:02 UTC 2025","26872","src.tests","test_03_credentials","TestCredentials","","","Verify that search bar reduces table results (generic)",""
"passed","Thu Aug 14 12:05:00 UTC 2025","Thu Aug 14 12:05:19 UTC 2025","18993","src.tests","test_04_flight","TestFlights","","","Verifying data available in the table",""
"passed","Thu Aug 14 11:56:33 UTC 2025","Thu Aug 14 11:56:51 UTC 2025","18813","src.tests","test_03_credentials","TestCredentials","","","Validate risk amount calculations for Airline & SSR",""
"passed","Thu Aug 14 12:02:29 UTC 2025","Thu Aug 14 12:03:15 UTC 2025","45832","src.tests","test_04_flight","TestFlights","","","Verifying aggregate group filter feature functionality",""
"passed","Thu Aug 14 11:44:22 UTC 2025","Thu Aug 14 11:44:44 UTC 2025","21998","src.tests","test_02_dashboard","TestDashBoard","","","Click each top module and verify it loads correct view title",""
"passed","Thu Aug 14 11:43:53 UTC 2025","Thu Aug 14 11:44:04 UTC 2025","11206","src.tests","test_02_dashboard","TestDashBoard","","","All Modules are visible on dashboard",""
"skipped","Thu Aug 14 11:53:18 UTC 2025","Thu Aug 14 11:53:40 UTC 2025","21598","src.tests","test_03_credentials","TestCredentials","","","test_toggle_buttons_expand_and_collapse[email]",""
"passed","Thu Aug 14 12:00:55 UTC 2025","Thu Aug 14 12:01:09 UTC 2025","13667","src.tests","test_04_flight","TestFlights","","","Verifying drag and drop functionality between columns",""
"skipped","Thu Aug 14 11:54:24 UTC 2025","Thu Aug 14 11:54:46 UTC 2025","22196","src.tests","test_03_credentials","TestCredentials","","","test_column_toggle_checkbox_reflects_in_table_headings[email]",""
"passed","Thu Aug 14 11:42:49 UTC 2025","Thu Aug 14 11:43:01 UTC 2025","12335","src.tests","test_01_login","TestLogin","","","Login and logout",""
"passed","Thu Aug 14 11:59:56 UTC 2025","Thu Aug 14 12:00:13 UTC 2025","16691","src.tests","test_04_flight","TestFlights","","","Scroll down dashboard page till the end",""
"broken","Thu Aug 14 12:06:15 UTC 2025","Thu Aug 14 12:06:41 UTC 2025","25320","src.tests","test_04_flight","TestFlights","","","Verifying table_headers_aggregate_functionality",""
"passed","Thu Aug 14 11:49:25 UTC 2025","Thu Aug 14 11:50:08 UTC 2025","43234","src.tests","test_03_credentials","TestCredentials","","","verifying take action button functionality",""
"passed","Thu Aug 14 11:43:24 UTC 2025","Thu Aug 14 11:43:25 UTC 2025","1003","src.tests","test_02_dashboard","TestDashBoard","","","Redirect to login if not authenticated",""
"passed","Thu Aug 14 11:44:47 UTC 2025","Thu Aug 14 11:45:59 UTC 2025","72072","src.tests","test_02_dashboard","TestDashBoard","","","Verify all custom dropdowns under filters have values",""
"broken","Thu Aug 14 12:05:22 UTC 2025","Thu Aug 14 12:05:47 UTC 2025","25525","src.tests","test_04_flight","TestFlights","","","Verifying table_headers_deselecting_functionality",""
"failed","Thu Aug 14 12:01:12 UTC 2025","Thu Aug 14 12:01:37 UTC 2025","25095","src.tests","test_04_flight","TestFlights","","","verifying columns sorting functionality",""
"failed","Thu Aug 14 11:50:50 UTC 2025","Thu Aug 14 11:51:16 UTC 2025","26330","src.tests","test_03_credentials","TestCredentials","","","verifying the GST table heading label name",""
"skipped","Thu Aug 14 11:51:39 UTC 2025","Thu Aug 14 11:52:23 UTC 2025","43377","src.tests","test_03_credentials","TestCredentials","","","verifying the email table heading label name",""
"passed","Thu Aug 14 11:52:26 UTC 2025","Thu Aug 14 11:52:45 UTC 2025","19293","src.tests","test_03_credentials","TestCredentials","","","test_toggle_buttons_expand_and_collapse[gst]",""
"passed","Thu Aug 14 11:56:54 UTC 2025","Thu Aug 14 11:57:33 UTC 2025","38720","src.tests","test_03_credentials","TestCredentials","","","Verify that search bar reduces table results (generic)",""
"passed","Thu Aug 14 11:58:05 UTC 2025","Thu Aug 14 11:58:56 UTC 2025","51138","src.tests","test_03_credentials","TestCredentials","","","Verify that search bar reduces table results (generic)",""
"passed","Thu Aug 14 11:46:02 UTC 2025","Thu Aug 14 11:48:11 UTC 2025","128980","src.tests","test_02_dashboard","TestDashBoard","","","Verify transaction value changes when selecting options in all filter dropdowns",""
"passed","Thu Aug 14 11:59:16 UTC 2025","Thu Aug 14 11:59:35 UTC 2025","19062","src.tests","test_04_flight","TestFlights","","","test_column_toggle_checkbox_reflects_in_table_headings",""
"broken","Thu Aug 14 12:05:50 UTC 2025","Thu Aug 14 12:06:12 UTC 2025","22193","src.tests","test_04_flight","TestFlights","","","Verifying table_headers_search_and_select_functionality",""
"failed","Thu Aug 14 11:51:19 UTC 2025","Thu Aug 14 11:51:37 UTC 2025","17869","src.tests","test_03_credentials","TestCredentials","","","verifying the airline table heading label name",""
"passed","Thu Aug 14 11:42:27 UTC 2025","Thu Aug 14 11:42:40 UTC 2025","12579","src.tests","test_01_login","TestLogin","","","Login with valid credentials",""
"passed","Thu Aug 14 11:42:42 UTC 2025","Thu Aug 14 11:42:43 UTC 2025","579","src.tests","test_01_login","TestLogin","","","Login with empty username",""
"failed","Thu Aug 14 11:53:43 UTC 2025","Thu Aug 14 11:54:02 UTC 2025","19591","src.tests","test_03_credentials","TestCredentials","","","test_column_toggle_checkbox_reflects_in_table_headings[gst]",""
"passed","Thu Aug 14 12:03:54 UTC 2025","Thu Aug 14 12:04:19 UTC 2025","24989","src.tests","test_04_flight","TestFlights","","","Verifying upload invoice history list functionality",""
"broken","Thu Aug 14 11:58:59 UTC 2025","Thu Aug 14 11:59:13 UTC 2025","14138","src.tests","test_04_flight","TestFlights","","","verifying the flight table heading label name",""
"passed","Thu Aug 14 11:48:13 UTC 2025","Thu Aug 14 11:48:59 UTC 2025","45674","src.tests","test_02_dashboard","TestDashBoard","","","Scroll down dashboard page till the end",""
"broken","Thu Aug 14 11:52:48 UTC 2025","Thu Aug 14 11:53:15 UTC 2025","27832","src.tests","test_03_credentials","TestCredentials","","","test_toggle_buttons_expand_and_collapse[airline]",""
