"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","149041","Verify all custom dropdowns under filters have values","src.tests","Tue Aug 05 10:43:43 IST 2025","passed","Tue Aug 05 10:46:12 IST 2025","TestDashBoard","test_02_dashboard","",""
"","42650","Scroll down dashboard page till the end","src.tests","Tue Aug 05 10:48:35 IST 2025","passed","Tue Aug 05 10:49:17 IST 2025","TestDashBoard","test_02_dashboard","",""
"","22674","verifying the GST table heading label name","src.tests","Tue Aug 05 10:51:28 IST 2025","passed","Tue Aug 05 10:51:51 IST 2025","TestCredentials","test_03_credentials","",""
"","14204","test_toggle_buttons_expand_and_collapse[gst]","src.tests","Tue Aug 05 10:53:12 IST 2025","passed","Tue Aug 05 10:53:27 IST 2025","TestCredentials","test_03_credentials","",""
"","10685","verifying the flight table heading label name","src.tests","Tue Aug 05 10:57:03 IST 2025","broken","Tue Aug 05 10:57:14 IST 2025","TestFlights","test_04_flight","",""
"","12366","verifying the no of the cards","src.tests","Tue Aug 05 10:50:43 IST 2025","passed","Tue Aug 05 10:50:55 IST 2025","TestCredentials","test_03_credentials","",""
"","0","all filter functionality","src.tests","Tue Aug 05 10:59:53 IST 2025","skipped","Tue Aug 05 10:59:53 IST 2025","TestFlights","test_04_flight","",""
"","16478","test_toggles_buttons_expand_and_collapse","src.tests","Tue Aug 05 10:58:41 IST 2025","passed","Tue Aug 05 10:58:58 IST 2025","TestFlights","test_04_flight","",""
"","14427","test_toggle_buttons_expand_and_collapse[airline]","src.tests","Tue Aug 05 10:53:32 IST 2025","passed","Tue Aug 05 10:53:46 IST 2025","TestCredentials","test_03_credentials","",""
"","22664","test_column_toggle_checkbox_reflects_in_table_headings[email]","src.tests","Tue Aug 05 10:55:27 IST 2025","skipped","Tue Aug 05 10:55:50 IST 2025","TestCredentials","test_03_credentials","",""
"","15204","All key widgets and UI elements are visible on dashboard","src.tests","Tue Aug 05 10:42:11 IST 2025","passed","Tue Aug 05 10:42:26 IST 2025","TestDashBoard","test_02_dashboard","",""
"Test UI behavior during network failures","1","Network error handling and user feedback","src.tests","Tue Aug 05 10:49:52 IST 2025","skipped","Tue Aug 05 10:49:52 IST 2025","TestDashBoard","test_02_dashboard","",""
"","41048","verifying take action button functionality","src.tests","Tue Aug 05 10:49:57 IST 2025","passed","Tue Aug 05 10:50:38 IST 2025","TestCredentials","test_03_credentials","",""
"","25551","Scroll down dashboard page till the end","src.tests","Tue Aug 05 10:59:12 IST 2025","passed","Tue Aug 05 10:59:38 IST 2025","TestFlights","test_04_flight","",""
"","41685","verifying the email table heading label name","src.tests","Tue Aug 05 10:52:25 IST 2025","skipped","Tue Aug 05 10:53:07 IST 2025","TestCredentials","test_03_credentials","",""
"","18490","test_table_header_drag_and_drop[email]","src.tests","Tue Aug 05 10:56:31 IST 2025","skipped","Tue Aug 05 10:56:50 IST 2025","TestCredentials","test_03_credentials","",""
"","16786","Click each top module and verify it loads correct view title","src.tests","Tue Aug 05 10:43:22 IST 2025","passed","Tue Aug 05 10:43:39 IST 2025","TestDashBoard","test_02_dashboard","",""
"","10723","Login with valid credentials","src.tests","Tue Aug 05 10:40:47 IST 2025","passed","Tue Aug 05 10:40:57 IST 2025","TestLogin","test_01_login","",""
